Annee,Obs,Hist-Min,Hist-Max,rcp45-Min,rcp45-Avg,rcp45-Max,rcp85-Min,rcp85-Avg,rcp85-Max
1951,1.7747,-0.21387,2.1331,,0.9375,,,0.93604,
1952,2.2806,-0.20117,2.1326,,0.9375,,,0.93945,
1953,2.846,-0.18652,2.1331,,0.93945,,,0.94434,
1954,1.2659,-0.17578,2.1343,,0.94336,,,0.94922,
1955,1.5974,-0.16016,2.1365,,0.94727,,,0.95508,
1956,0.71442,-0.14355,2.1394,,0.94922,,,0.9624,
1957,1.4086,-0.12988,2.1433,,0.95508,,,0.96973,
1958,1.1136,-0.11328,2.1477,,0.95898,,,0.97803,
1959,1.2318,-0.094727,2.1533,,0.96875,,,0.98779,
1960,1.9582,-0.079102,2.1594,,0.97852,,,0.99707,
1961,1.9911,-0.060547,2.1665,,0.98633,,,1.0083,
1962,1.0002,-0.040039,2.1746,,1,,,1.019,
1963,0.79618,-0.023438,2.1833,,1.0117,,,1.0317,
1964,1.2762,-0.00097656,2.1926,,1.0215,,,1.0449,
1965,0.58112,0.019531,2.2034,,1.0391,,,1.0591,
1966,2.0052,0.041992,2.2146,,1.0508,,,1.0732,
1967,0.89164,0.060547,2.2266,,1.0684,,,1.0879,
1968,1.1677,0.07959,2.2395,,1.082,,,1.1045,
1969,1.8406,0.1001,2.2532,,1.1016,,,1.1211,
1970,1.1642,0.12061,2.2681,,1.123,,,1.1387,
1971,1.1762,0.14111,2.2834,,1.1445,,,1.1567,
1972,-0.076656,0.16309,2.2996,,1.1602,,,1.1758,
1973,2.5043,0.18506,2.3169,,1.1816,,,1.1958,
1974,0.53897,0.20703,2.3347,,1.2031,,,1.2158,
1975,1.8154,0.23145,2.3533,,1.2246,,,1.2373,
1976,0.44571,0.25684,2.3728,,1.252,,,1.2593,
1977,1.7424,0.28125,2.3931,,1.2734,,,1.2817,
1978,0.70905,0.30615,2.4143,,1.3027,,,1.3052,
1979,2.3824,0.33301,2.4375,,1.3301,,,1.3291,
1980,0.54093,0.35986,2.4592,,1.3496,,,1.3545,
1981,2.3345,0.38721,2.4902,,1.3789,,,1.3794,
1982,0.95307,0.41504,2.5156,,1.4043,,,1.4058,
1983,2.3377,0.44434,2.541,,1.4336,,,1.4331,
1984,1.825,0.47363,2.5703,,1.4648,,,1.4609,
1985,0.76737,0.50342,2.6035,,1.4941,,,1.4893,
1986,1.0008,0.5332,2.6289,,1.5293,,,1.5181,
1987,2.1562,0.56445,2.6621,,1.5605,,,1.5483,
1988,1.5102,0.59619,2.6953,,1.5879,,,1.5786,
1989,0.67826,0.62842,2.7246,,1.623,,,1.6099,
1990,2.1502,0.66113,2.7598,,1.6523,,,1.6421,
1991,1.7509,0.69434,2.793,,1.6875,,,1.6743,
1992,0.71677,0.729,2.8242,,1.7246,,,1.708,
1993,1.0066,0.76221,2.8594,,1.7578,,,1.7417,
1994,1.1451,0.79736,2.8984,,1.7949,,,1.7764,
1995,1.843,0.8335,2.9297,,1.832,,,1.812,
1996,1.584,0.86914,2.9668,,1.8652,,,1.8481,
1997,1.0276,0.90527,3.0059,,1.9023,,,1.8848,
1998,3.3027,0.94238,3.0391,,1.9355,,,1.9224,
1999,3.247,0.98096,3.0801,,1.9727,,,1.9609,
2000,1.7449,1.0181,3.1211,,2.0156,,,1.999,
2001,3.0279,1.0566,3.1523,,2.0527,,,2.0386,
2002,2.2302,1.0889,3.1973,,2.0918,,,2.0791,
2003,1.459,1.1221,3.2363,,2.1328,,,2.1191,
2004,1.2933,1.1572,3.2754,,2.168,,,2.1611,
2005,2.4076,1.1943,3.3125,,2.209,,,2.2031,
2006,3.267,,,1.2275,2.248,3.3555,1.2588,2.2461,3.3396
2007,1.575,,,1.2617,2.2871,3.3965,1.2998,2.2896,3.3845
2008,1.8527,,,1.2979,2.3281,3.4355,1.3423,2.3335,3.4299
2009,1.711,,,1.332,2.3711,3.4805,1.3838,2.3784,3.4766
2010,3.8436,,,1.3662,2.4121,3.5195,1.4282,2.4233,3.5237
2011,2.5848,,,1.4023,2.4551,3.5625,1.4712,2.4697,3.5718
2012,3.2566,,,1.4375,2.4922,3.6094,1.5156,2.5166,3.6206
2013,2.1141,,,1.4697,2.5352,3.6465,1.5596,2.564,3.6704
2014,,,,1.5068,2.5762,3.6875,1.605,2.6118,3.7209
2015,,,,1.5439,2.6172,3.7363,1.6499,2.6606,3.772
2016,,,,1.5752,2.6582,3.7754,1.6953,2.7104,3.824
2017,,,,1.6123,2.7031,3.8184,1.7412,2.7593,3.877
2018,,,,1.6475,2.7441,3.8691,1.7891,2.8105,3.9309
2019,,,,1.6826,2.7891,3.9102,1.835,2.8613,3.9854
2020,,,,1.7158,2.8301,3.9512,1.8828,2.9136,4.0408
2021,,,,1.7529,2.8711,3.998,1.9307,2.9658,4.0964
2022,,,,1.7871,2.9102,4.043,1.98,3.0186,4.1536
2023,,,,1.8203,2.9551,4.084,2.0273,3.0728,4.2112
