"landtype","spp","poolID","amountAtT0"
220,"ABIE.BAL",1,553
220,"ABIE.BAL",2,23
220,"ABIE.BAL",3,511
220,"ABIE.BAL",4,45
220,"ABIE.BAL",5,2994
220,"ABIE.BAL",6,3785
220,"ABIE.BAL",7,7522
220,"ABIE.BAL",8,1659
220,"ABIE.BAL",9,219
220,"ABIE.BAL",10,0
221,"ABIE.BAL",1,620
221,"ABIE.BAL",2,23
221,"ABIE.BAL",3,612
221,"ABIE.BAL",4,50
221,"ABIE.BAL",5,3986
221,"ABIE.BAL",6,4926
221,"ABIE.BAL",7,9745
221,"ABIE.BAL",8,2234
221,"ABIE.BAL",9,259
221,"ABIE.BAL",10,0
222,"ABIE.BAL",1,310
222,"ABIE.BAL",2,17
222,"ABIE.BAL",3,319
222,"ABIE.BAL",4,40
222,"ABIE.BAL",5,1281
222,"ABIE.BAL",6,1995
222,"ABIE.BAL",7,4040
222,"ABIE.BAL",8,622
222,"ABIE.BAL",9,138
222,"ABIE.BAL",10,0
223,"ABIE.BAL",1,277
223,"ABIE.BAL",2,16
223,"ABIE.BAL",3,293
223,"ABIE.BAL",4,39
223,"ABIE.BAL",5,1125
223,"ABIE.BAL",6,1803
223,"ABIE.BAL",7,3662
223,"ABIE.BAL",8,545
223,"ABIE.BAL",9,127
223,"ABIE.BAL",10,0
220,"BETU.PAP",1,34
220,"BETU.PAP",2,3
220,"BETU.PAP",3,65
220,"BETU.PAP",4,7
220,"BETU.PAP",5,281
220,"BETU.PAP",6,414
220,"BETU.PAP",7,872
220,"BETU.PAP",8,122
220,"BETU.PAP",9,25
220,"BETU.PAP",10,0
221,"BETU.PAP",1,33
221,"BETU.PAP",2,3
221,"BETU.PAP",3,62
221,"BETU.PAP",4,7
221,"BETU.PAP",5,354
221,"BETU.PAP",6,482
221,"BETU.PAP",7,1040
221,"BETU.PAP",8,152
221,"BETU.PAP",9,23
221,"BETU.PAP",10,0
222,"BETU.PAP",1,43
222,"BETU.PAP",2,4
222,"BETU.PAP",3,86
222,"BETU.PAP",4,13
222,"BETU.PAP",5,85
222,"BETU.PAP",6,334
222,"BETU.PAP",7,694
222,"BETU.PAP",8,30
222,"BETU.PAP",9,39
222,"BETU.PAP",10,0
223,"BETU.PAP",1,49
223,"BETU.PAP",2,4
