"landtype","spp","poolID","DOMName","amountAtT0"
130,"ABIE.BAL",1,"VF_A",0
130,"ABIE.BAL",2,"VF_B",0
130,"ABIE.BAL",3,"Fast_A",12
130,"ABIE.BAL",4,"Fast_B",0
130,"ABIE.BAL",5,"MED",15
130,"ABIE.BAL",6,"Slow_A",306
130,"ABIE.BAL",7,"Slow_B",245
130,"ABIE.BAL",8,"Sng_Stem",7
130,"ABIE.BAL",9,"Sng_Oth",3
130,"ABIE.BAL",10,"Extra",0
130,"ACER.RUB",1,"VF_A",0
130,"ACER.RUB",2,"VF_B",0
130,"ACER.RUB",3,"Fast_A",6
130,"ACER.RUB",4,"Fast_B",0
130,"ACER.RUB",5,"MED",8
130,"ACER.RUB",6,"Slow_A",158
130,"ACER.RUB",7,"Slow_B",127
130,"ACER.RUB",8,"Sng_Stem",3
130,"ACER.RUB",9,"Sng_Oth",2
130,"ACER.RUB",10,"Extra",0
130,"ACER.SAH",1,"VF_A",0
130,"ACER.SAH",2,"VF_B",0
130,"ACER.SAH",3,"Fast_A",13
130,"ACER.SAH",4,"Fast_B",0
130,"ACER.SAH",5,"MED",16
130,"ACER.SAH",6,"Slow_A",332
130,"ACER.SAH",7,"Slow_B",266
130,"ACER.SAH",8,"Sng_Stem",7
130,"ACER.SAH",9,"Sng_Oth",3
130,"ACER.SAH",10,"Extra",0
130,"BETU.ALL",1,"VF_A",0
130,"BETU.ALL",2,"VF_B",0
130,"BETU.ALL",3,"Fast_A",35
130,"BETU.ALL",4,"Fast_B",0
130,"BETU.ALL",5,"MED",43
130,"BETU.ALL",6,"Slow_A",896
130,"BETU.ALL",7,"Slow_B",717
130,"BETU.ALL",8,"Sng_Stem",19
130,"BETU.ALL",9,"Sng_Oth",9
130,"BETU.ALL",10,"Extra",0
130,"BETU.PAP",1,"VF_A",0
130,"BETU.PAP",2,"VF_B",0
130,"BETU.PAP",3,"Fast_A",1
130,"BETU.PAP",4,"Fast_B",0
130,"BETU.PAP",5,"MED",1
130,"BETU.PAP",6,"Slow_A",15
130,"BETU.PAP",7,"Slow_B",12
130,"BETU.PAP",8,"Sng_Stem",0
130,"BETU.PAP",9,"Sng_Oth",0
130,"BETU.PAP",10,"Extra",0
130,"FAGU.GRA",1,"VF_A",0
130,"FAGU.GRA",2,"VF_B",0
130,"FAGU.GRA",3,"Fast_A",6
130,"FAGU.GRA",4,"Fast_B",0
130,"FAGU.GRA",5,"MED",8
130,"FAGU.GRA",6,"Slow_A",161
130,"FAGU.GRA",7,"Slow_B",129
130,"FAGU.GRA",8,"Sng_Stem",3
130,"FAGU.GRA",9,"Sng_Oth",2
130,"FAGU.GRA",10,"Extra",0
130,"LARI.LAR",1,"VF_A",0
130,"LARI.LAR",2,"VF_B",0
130,"LARI.LAR",3,"Fast_A",0
130,"LARI.LAR",4,"Fast_B",0
130,"LARI.LAR",5,"MED",0
130,"LARI.LAR",6,"Slow_A",4
130,"LARI.LAR",7,"Slow_B",3
130,"LARI.LAR",8,"Sng_Stem",0
130,"LARI.LAR",9,"Sng_Oth",0
130,"LARI.LAR",10,"Extra",0
130,"PICE.GLA",1,"VF_A",0
130,"PICE.GLA",2,"VF_B",0
130,"PICE.GLA",3,"Fast_A",18
130,"PICE.GLA",4,"Fast_B",0
130,"PICE.GLA",5,"MED",23
130,"PICE.GLA",6,"Slow_A",470
130,"PICE.GLA",7,"Slow_B",376
130,"PICE.GLA",8,"Sng_Stem",10
130,"PICE.GLA",9,"Sng_Oth",5
130,"PICE.GLA",10,"Extra",0
130,"PICE.MAR",1,"VF_A",0
130,"PICE.MAR",2,"VF_B",0
130,"PICE.MAR",3,"Fast_A",13
130,"PICE.MAR",4,"Fast_B",0
130,"PICE.MAR",5,"MED",16
130,"PICE.MAR",6,"Slow_A",339
130,"PICE.MAR",7,"Slow_B",271
