"LandisData ""Dynamic Input Data"""						
>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE						
>> The following multiplier was applied to all species's original maxB and maxANPP						
>>	multiplier					
>>	0.6					
>> The following species' parameters (maxANPP and maxB) have also been modified						
>>	species		averageMaxBiomassTarget	finalMultiplier		
>>	ABIE.BAL	0.8			3.6744	
>>	year	landtype	species	probEst	maxANPP	maxB
0	220	ABIE.BAL	0.737	1025	7632	
						
0	220	BETU.PAP	0.838	521	3179	
						
0	220	PICE.GLA	0.737	817	9427	
						
0	220	PICE.MAR	0.651	857	8474	
						
0	220	POPU.TRE	0.944	916	6619	
						
0	221	ABIE.BAL	0.786	1095	7885	
						
0	221	BETU.PAP	0.838	575	3329	
						
0	221	PICE.GLA	0.692	985	10318	
						
0	221	PICE.MAR	0.614	889	8882	
						
0	221	POPU.TRE	0.893	1060	6816	
						
0	222	ABIE.BAL	0.737	1062	7665	
						
0	222	BETU.PAP	0.838	507	3162	
						
0	222	PICE.GLA	0.692	842	9827	
						
0	222	PICE.MAR	0.614	759	8918	
						
0	222	POPU.TRE	0.838	961	6561	
						
0	223	ABIE.BAL	0.737	1025	7595	
						
0	223	BETU.PAP	0.838	514	3139	
						
0	223	PICE.GLA	0.692	844	9599	
						
0	223	PICE.MAR	0.614	814	8632	
						
0	223	POPU.TRE	0.838	956	6521	
						
30	220	ABIE.BAL	0.786	1091	7341	
						
30	220	BETU.PAP	0.944	490	3123	
						
30	220	PICE.GLA	0.692	775	9465	
						
30	220	PICE.MAR	0.614	849	7583	
						
30	220	POPU.TRE	0.893	908	6445	
						
30	221	ABIE.BAL	0.786	1055	7316	
						
30	221	BETU.PAP	0.944	582	3231	
						
30	221	PICE.GLA	0.692	853	9572	
						
30	221	PICE.MAR	0.614	993	7819	
						
30	221	POPU.TRE	0.838	1018	6573	
						
30	222	ABIE.BAL	0.737	996	7694	
						
30	222	BETU.PAP	0.838	528	3246	
						
30	222	PICE.GLA	0.692	789	9530	
						
30	222	PICE.MAR	0.614	837	8365	
						
30	222	POPU.TRE	0.893	959	6562	
						
30	223	ABIE.BAL	0.737	1029	7643	
						
30	223	BETU.PAP	0.838	512	3226	
						
30	223	PICE.GLA	0.692	805	9782	
						
30	223	PICE.MAR	0.651	811	8476	
						
30	223	POPU.TRE	0.893	916	6504	
						
60	220	ABIE.BAL	0.737	904	7349	
						
60	220	BETU.PAP	0.893	521	3151	
						
60	220	PICE.GLA	0.692	722	9757	
						
60	220	PICE.MAR	0.614	721	7708	
						
60	220	POPU.TRE	0.838	970	6514	
						
60	221	ABIE.BAL	0.737	933	7448	
						
60	221	BETU.PAP	0.893	584	3321	
						
60	221	PICE.GLA	0.692	819	8969	
						
60	221	PICE.MAR	0.581	746	7639	
						
60	221	POPU.TRE	0.838	1043	6691	
						
60	222	ABIE.BAL	0.786	937	7643	
						
60	222	BETU.PAP	0.893	509	3136	
						
60	222	PICE.GLA	0.692	788	9260	
						
60	222	PICE.MAR	0.614	748	8540	
						
60	222	POPU.TRE	0.893	931	6579	
						
60	223	ABIE.BAL	0.786	963	7536	
						
60	223	BETU.PAP	0.893	516	3115	
						
60	223	PICE.GLA	0.692	821	9533	
						
60	223	PICE.MAR	0.614	779	8350	
						
60	223	POPU.TRE	0.893	934	6559	
