"LandisData ""Dynamic Input Data"""						
					
>> WARNING - THIS IS A BIAS-CORRECTED INPUT FILE						
>> The following multiplier was applied to all species's original maxB and maxANPP						
>>	multiplier					
>>	0.6					
>> The following species' parameters (maxANPP and maxB) have also been modified						

>>	species		averageMaxBiomassTarget	finalMultiplier		
>>	ABIE.BAL	0.8			3.6744	

>>	year	landtype	species	probEst	maxANPP	maxB
0	220	ABIE.BAL	0.786	1007	7569	
						
0	220	BETU.PAP	0.893	513	3203	
						
0	220	PICE.GLA	0.692	848	9625	
						
0	220	PICE.MAR	0.581	782	8363	
						
0	220	POPU.TRE	0.838	960	6645	
						
0	221	ABIE.BAL	0.786	1033	7793	
						
0	221	BETU.PAP	0.944	539	3262	
						
0	221	PICE.GLA	0.692	939	9977	
						
0	221	PICE.MAR	0.614	815	8612	
						
0	221	POPU.TRE	0.838	1064	6736	
						
0	222	ABIE.BAL	0.737	1021	7863	
						
0	222	BETU.PAP	0.786	519	3115	
						
0	222	PICE.GLA	0.692	814	9358	
						
0	222	PICE.MAR	0.614	782	8878	
						
0	222	POPU.TRE	0.893	959	6498	
						
0	223	ABIE.BAL	0.737	911	7676	
						
0	223	BETU.PAP	0.786	530	3151	
						
0	223	PICE.GLA	0.692	834	9637	
						
0	223	PICE.MAR	0.614	785	8830	
						
0	223	POPU.TRE	0.893	948	6598	
						
30	220	ABIE.BAL	0.692	1400	7014	
						
30	220	BETU.PAP	0.944	467	3128	
						
30	220	PICE.GLA	0.692	742	9086	
						
30	220	PICE.MAR	0.581	639	7184	
						
30	220	POPU.TRE	0.838	844	6228	
						
30	221	ABIE.BAL	0.692	1282	7103	
						
30	221	BETU.PAP	0.893	563	3162	
						
30	221	PICE.GLA	0.692	832	8969	
						
30	221	PICE.MAR	0.581	866	7100	
						
30	221	POPU.TRE	0.838	906	6447	
						
30	222	ABIE.BAL	0.786	1161	7540	
						
30	222	BETU.PAP	0.944	503	3224	
						
30	222	PICE.GLA	0.692	776	9182	
						
30	222	PICE.MAR	0.581	855	8129	
						
30	222	POPU.TRE	0.893	840	6500	
						
30	223	ABIE.BAL	0.786	1191	7261	
						
30	223	BETU.PAP	0.944	480	3066	
						
30	223	PICE.GLA	0.692	785	9197	
						
30	223	PICE.MAR	0.614	920	7918	
						
30	223	POPU.TRE	0.893	910	6445	
						
60	220	ABIE.BAL	0.692	900	4229	
						
60	220	BETU.PAP	0.838	325	2779	
						
60	220	PICE.GLA	0.214	373	3752	
						
60	220	PICE.MAR	0	0	0	
						
60	220	POPU.TRE	0.786	665	5216	
						
60	221	ABIE.BAL	0.614	650	2969	
						
60	221	BETU.PAP	0.786	358	2659	
						
60	221	PICE.GLA	0	0	0	
						
60	221	PICE.MAR	0	0	0	
						
60	221	POPU.TRE	0.786	643	4951	
						
60	222	ABIE.BAL	0.737	1668	6188	
						
60	222	BETU.PAP	0.838	424	3014	
						
60	222	PICE.GLA	0.651	785	6658	
						
60	222	PICE.MAR	0.498	555	5422	
						
60	222	POPU.TRE	0.838	613	5917	
						
60	223	ABIE.BAL	0.737	1213	6055	
						
60	223	BETU.PAP	0.838	395	2893	
						
60	223	PICE.GLA	0.651	773	6664	
						
60	223	PICE.MAR	0.498	575	5366	
						
60	223	POPU.TRE	0.838	595	5944	
