"Reference: M.-C. Lambert, C.-H. Ung, and F. Raulier 2005. Canadian national biomass equations. Can. J. For. Res 35: 1996-2018. ",,,,,,
"Reference: Ung, C.-H.; Bernier, P.; Guo, X.-J. 2008. Canadian national biomass equations: new parameter estimates that include British Columbia data. Can. J. For. Res 38:1123-2232.",,,,,,
,,,,,,
"Parameters for estimating biomass (Kg, Biomass_kg) at the tree scale from DBH (cm, D_cm)",,,,,,
Biomass_kg = a * (D_cm^b),,,,,,
,,,,,,
Species_en,Essence_fr,Component_en,Component_fr,a,b,Reference
Deciduous,Feuillus,Bark,Écorce,0.0226,2.2151,Ung 2008
Deciduous,Feuillus,Branches,Branche,0.0186,2.4462,Ung 2008
Deciduous,Feuillus,Foliage,Feuillage,0.0385,1.6255,Ung 2008
Deciduous,Feuillus,Wood,Bois,0.0864,2.3715,Ung 2008
Conifers,Conifères,Bark,Écorce,0.0153,2.211,Ung 2008
Conifers,Conifères,Branches,Branche,0.0194,2.2408,Ung 2008
Conifers,Conifères,Foliage,Feuillage,0.0935,1.6106,Ung 2008
Conifers,Conifères,Wood,Bois,0.0564,2.4347,Ung 2008
All,Tous,Bark,Écorce,0.0182,2.2181,Ung 2008
All,Tous,Branches,Branche,0.0227,2.2797,Ung 2008
All,Tous,Foliage,Feuillage,0.0764,1.5861,Ung 2008
All,Tous,Wood,Bois,0.0741,2.3875,Ung 2008
Balsam fir,Sapin baumier,Bark,Écorce,0.0115,2.3484,Lambert 2005
Balsam fir,Sapin baumier,Branches,Branche,0.007,2.5406,Lambert 2005
Balsam fir,Sapin baumier,Foliage,Feuillage,0.084,1.6695,Lambert 2005
Balsam fir,Sapin baumier,Wood,Bois,0.0534,2.403,Lambert 2005
Balsam poplar,Peuplier baumier,Bark,Écorce,0.0297,2.1131,Lambert 2005
Balsam poplar,Peuplier baumier,Branches,Branche,0.012,2.4165,Lambert 2005
Balsam poplar,Peuplier baumier,Foliage,Feuillage,0.0276,1.6215,Lambert 2005
Balsam poplar,Peuplier baumier,Wood,Bois,0.051,2.4529,Lambert 2005
Basswood,Tilleul d'Amérique,Bark,Écorce,0.0302,2.0976,Lambert 2005
Basswood,Tilleul d'Amérique,Branches,Branche,0.023,2.2382,Lambert 2005
Basswood,Tilleul d'Amérique,Foliage,Feuillage,0.0288,1.6378,Lambert 2005
Basswood,Tilleul d'Amérique,Wood,Bois,0.0562,2.4102,Lambert 2005
American beech,Hêtre à grandes feuilles,Bark,Écorce,0.012,2.2388,Lambert 2005
American beech,Hêtre à grandes feuilles,Branches,Branche,0.037,2.368,Lambert 2005
American beech,Hêtre à grandes feuilles,Foliage,Feuillage,0.0376,1.6164,Lambert 2005
American beech,Hêtre à grandes feuilles,Wood,Bois,0.1478,2.2986,Lambert 2005
Black ash,Frêne noir,Bark,Écorce,0.0323,2.0761,Lambert 2005
Black ash,Frêne noir,Branches,Branche,0.0448,1.9771,Lambert 2005
Black ash,Frêne noir,Foliage,Feuillage,0.0538,1.3584,Lambert 2005
Black ash,Frêne noir,Wood,Bois,0.0941,2.3491,Lambert 2005
Black cherry,Cerisier noir,Bark,Écorce,0.0679,1.8377,Lambert 2005
Black cherry,Cerisier noir,Branches,Branche,0.0796,2.0103,Lambert 2005
Black cherry,Cerisier noir,Foliage,Feuillage,0.084,1.2319,Lambert 2005
Black cherry,Cerisier noir,Wood,Bois,0.3743,1.9406,Lambert 2005
Black spruce,Épinette noire,Bark,Écorce,0.0148,2.2494,Ung 2008
Black spruce,Épinette noire,Branches,Branche,0.0291,2.0751,Ung 2008
Black spruce,Épinette noire,Foliage,Feuillage,0.1631,1.4222,Ung 2008
Black spruce,Épinette noire,Wood,Bois,0.0494,2.5025,Ung 2008
Douglas fir,Douglas,Bark,Écorce,0.0069,2.5462,Ung 2008
Douglas fir,Douglas,Branches,Branche,0.0404,2.1388,Ung 2008
Douglas fir,Douglas,Foliage,Feuillage,0.1233,1.6636,Ung 2008
Douglas fir,Douglas,Wood,Bois,0.0204,2.6974,Ung 2008
Eastern hemlock,Pruche du Canada,Bark,Écorce,0.0139,2.3282,Lambert 2005
Eastern hemlock,Pruche du Canada,Branches,Branche,0.0217,2.2653,Lambert 2005
Eastern hemlock,Pruche du Canada,Foliage,Feuillage,0.0776,1.6995,Lambert 2005
Eastern hemlock,Pruche du Canada,Wood,Bois,0.0619,2.3821,Lambert 2005
Eastern white cedar,Thuya occidental,Bark,Écorce,0.0114,2.1432,Lambert 2005
Eastern white cedar,Thuya occidental,Branches,Branche,0.0335,1.9367,Lambert 2005
Eastern white cedar,Thuya occidental,Foliage,Feuillage,0.0499,1.7278,Lambert 2005
Eastern white cedar,Thuya occidental,Wood,Bois,0.0654,2.2121,Lambert 2005
Eastern white pine,Pin blanc,Bark,Écorce,0.0192,2.2038,Lambert 2005
Eastern white pine,Pin blanc,Branches,Branche,0.0056,2.6011,Lambert 2005
Eastern white pine,Pin blanc,Foliage,Feuillage,0.0284,1.9375,Lambert 2005
Eastern white pine,Pin blanc,Wood,Bois,0.0997,2.2709,Lambert 2005
Engelmann spruce ,Épinette d'Engelmann,Bark,Écorce,0.0118,2.2733,Ung 2008
Engelmann spruce ,Épinette d'Engelmann,Branches,Branche,0.0336,2.2123,Ung 2008
