Code,commonName,scientificShort,scientificLong,LandisCode,qcCode,allometryCode
100,Spruce,,Picea,NA,NA,NA
101,Black spruce,Picea mariana,Picea mariana (Mill.) BSP,PICE.MAR,EPN,Black spruce
102,Red spruce,Picea rubens,Picea rubens Sarg.,PICE.RUB,EPR,Red spruce
103,Norway spruce *,,Picea abies (L.) Karst.,NA,EPO,NA
104,Engelmann spruce,Picea engelmannii,Picea engelmannii Parry ex Engelm.,PICE.ENG,NA,NA
105,White spruce,Picea glauca,Picea glauca (Moench) Voss,PICE.GLA,EPB,White spruce
106,Sitka spruce,Picea sitchensis,Picea sitchensis (Bong.) Carriﾊre,PICE.SIT,NA,NA
107,Black and red spruce,,Picea mariana (Mill.) BSP and Picea rubens Sarg.,NA,NA,NA
108,Red and white spruce,,Picea rubens Sarg. and Picea glauca (Moench) Voss,NA,NA,NA
109,Other spruce,,NA,NA,NA,NA
200,Pine,,Pinus,NA,NA,NA
201,Western white pine,,Pinus monticola Dougl. ex D. Don,PINU.MON,NA,NA
202,Eastern white pine,Pinus strobus,Pinus strobus L.,PINU.STR,PIB,Eastern white pine
203,Jack pine,Pinus banksiana,Pinus banksiana Lamb.,PINU.BAN,PIG,Jack pine
204,Lodgepole pine,Pinus contorta,Pinus contorta Dougl. ex Loud. var. latifolia Engelm.,PINU.CON.LAT,NA,NA
205,Shore pine,,Pinus contorta var. contorta,PINU.CON.CON,NA,NA
206,Whitebark pine,Pinus albicaulis,Pinus albicaulis Engelm.,PINU.ALB,NA,NA
207,Austrian pine *,,Pinus nigra Arnold,NA,NA,NA
208,Ponderosa pine,Pinus ponderosa,Pinus ponderosa P. Laws. ex C. Laws.,PINU.PON,NA,NA
209,Red pine,Pinus resinosa,Pinus resinosa Ait.,PINU.RES,PIR,Red pine
210,Pitch pine,,Pinus rigida Mill.,NA,PID,NA
211,Scots pine **,,Pinus sylvestris L.,NA,PIS,NA
212,Mugho pine *,,Pinus mugo Turra,NA,NA,NA
213,Limber pine,,Pinus flexilis James,NA,NA,NA
214,"Jack, lodgepole, and shore pine",,"Pinus banksiana Lamb., Pinus contorta Dougl. ex  Loud. var. latifolia Engelm.,",NA,NA,NA
215,Other pine,,NA,NA,NA,NA
300,Fir,,Abies,NA,NA,NA
301,Pacific silver fir,Abies amabilis,Abies amabilis (Dougl. ex Loud.) Dougl. ex. J. Forbes,ABIE.AMA,NA,NA
302,Balsam fir,Abies balsamea,Abies balsamea (L.) Mill.,ABIE.BAL,SAB,Balsam fir
303,Grand fir,Abies grandis,Abies grandis (Dougl. ex D. Don) Lindl.,ABIE.GRA,NA,NA
304,Subalpine fir,Abies lasiocarpa,Abies lasiocarpa (Hook.) Nutt.,ABIE.LAS,NA,NA
305,Balsam and alpine fir,,Abies balsamea (L.) Mill. and Abies lasiocarpa (Hook.) Nutt.,NA,NA,NA
306,"Alpine, amabilis, and grand fir",,"Abies lasiocarpa (Hook.) Nutt., Abies amabilis (Dougl. ex Loud.) Dougl. ex. J. Forbes,",NA,NA,NA
320,Spruce and balsam fir,,Picea and Abies balsamea (L.) Mill.,NA,NA,NA
321,Balsam fir and spruce,,Abies balsamea (L.) Mill. and Picea,NA,NA,NA
400,Hemlock,,Tsuga,NA,NA,NA
401,Eastern hemlock,Tsuga canadensis,Tsuga canadensis (L.) Carriﾊre,TSUG.CAN,PRU,Eastern hemlock
